HallB,Torus,Cryo,Helium,,
B_TORUS:LHe:TR817D3,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D3HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D4,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D4HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D5,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D5HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D6,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D6HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D7,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D8,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817D9,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817DR,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817DS,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E3,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E4,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E5,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E6,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E7,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E8,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817E9,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817ER,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817ES,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F3,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F4,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F5,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F6,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F7,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F8,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817F9,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817FR,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817FS,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U1HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U1HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U2HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U2HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U3HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U3HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U4HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U4HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U5HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U5HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U6HB1,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
B_TORUS:LHe:TR817U6HB2,Helium,TRUE,TRUE,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi
